,Name,Character Names
14,12 Angry Men,"{'Juror 10', 'Juror 12', 'Stenographer', 'Judge', 'Juror 9', 'Juror 7', 'Guard', 'Juror 5', 'Court Clerk', 'Reporter', 'Juror 4', 'Juror 2', 'Juror 1', 'Juror 3', 'Juror 11', 'Juror 6', 'Juror 8', 'Man Waiting for Elevator', 'The Accused'}"
15,Star Wars,"{'Fixer', 'Mos Eisley Citizen', 'Massassi Outpost Announcer', 'Daine Jir', 'Tusken Raider', 'Lt. Pol Treidum', 'Chief Jawa', ""Leia's Rebel Escort"", 'Muftak', 'Aunt Beru', 'Wuher', 'Gold Five', 'Greedo', 'Various Voices', 'Red Leader', 'Kabe', ""Sai'torr Kal Fas"", 'C-3PO', 'Leesub Sirln', 'Death Star Trooper', 'Thuku', 'Rycar Ryjerd', 'Cantina Voices', 'Grand Moff Tarkin', 'Cantina Alien', 'GONK Droid', 'Dr. Evazan', 'Solomohal', 'InCom Engineer', 'Red Two', 'Red Six', 'Hrchek Kal Fas', 'Han Solo', 'Uncle Owen', 'Wioslea', 'Red Four', 'Tawss Khaa', 'Drifter', 'Commander #1', 'Temple Guard', 'Melas', 'Swilla Corey', 'Medal Bearer', 'Ben Obi-Wan Kenobi', 'Nabrun Leids', 'Massassi Base Rebel Scout', 'Chall Bekan', 'General Taggi', 'Chewbacca', 'BoShek', 'Stormtrooper', 'Cantina Band Member', 'Cantina Patron', 'Ponda Baba', 'Mosep', 'Cmdr. Praji', 'Red Three', 'Jawa', 'Gold Two', 'Luke Skywalker', 'Garouf Lafoe', 'R2-D2', 'General Dodonna', 'Darth Vader', 'General Motti', 'Brea Tonnika', 'Princess Leia Organa', 'Djas Puhr', 'Gold Leader', 'Sandtrooper', 'Stormtrooper with Binoculars', 'Takeel', 'Del Goren', 'Boba Fett', 'General Willard', 'Garindan', 'Death Star Gunner', 'Ketwol', 'Senni Tonnika', 'Lt. Shann Childsen'}"
16,2001 A Space Odyssey,"{""Poole's Father"", 'TMA-1 Site Technician #2', ""Squirt - Floyd's Daughter"", 'V. F. Kaminsky', 'Hostess in Elevator', 'Dr. Ralph Halvorsen', 'Dr. Heywood R. Floyd', 'Young Man', 'Aries-1B Lunar Shuttle Captain', 'Dr. Dave Bowman', 'Ape', 'TMA-1 Site Photographer', 'Astronaut', 'BBC-12 Announcer', 'Ape Killed by Moon-Watcher', 'Ape Attacked by Leopard', 'Stewardess', 'Stewardess on Space Station', 'Moon-Watcher', 'Moonwalker', 'Scientist', 'Interviewer', 'Mission Controller', 'Miller', 'Russian Scientist', 'Dr. Frank Poole', 'Receptionist', 'Dr. Andrei Smyslov', 'Scientist at TMA-1 Briefing', 'HAL 9000', 'Judo Opponent on Aries-Ib TV', 'Dr. Bill Michaels', 'Dr. Stretyeneva', 'Voice Print Identification Girl', 'Aries-1B Stewardess', 'TMA-1 Site Technician #1', 'Military Officer at Clavius Meeting', 'Elena', ""Poole's Mother""}"
17,Chinatown,"{'Policeman', 'Noah Cross', 'Waiter', 'Lawyer', 'Driver', 'Mr. Palmer', 'Man with Knife', 'J.J. Gittes', 'Walsh', 'Gardener', 'Irate Farmer', ""Evelyn's Butler"", 'Boy on Horseback', ""Cross' Butler"", 'Ida Sessions', 'Emma Dill', 'Hollis Mulwray', 'Yelburton', 'Mortician', 'Clerk', 'Evelyn Mulwray', 'Customer', 'Maid', ""Mulwray's Secretary"", 'Sophie', 'Duffy', 'Mayor Bagby', ""Curly's Wife"", 'Curly', 'Mulvihill', 'Councilman', 'Barber', 'Loach', 'Escobar', 'Katherine', 'Farmer in the Valley'}"
18,Singin' in the Rain,"{""Policeman in 'Singin' in the Rain' Number"", 'Teresa - a Lady-in-Waiting', ""'Miss January' in 'Beautiful Girl' segment"", 'Orchestra Leader', 'Assistant Director', 'Movie Usher', 'Phoebe Dinsmore', 'Mrs. Simpson', 'Minor Role', 'Security Guard', 'Projectionist', ""'Miss May' in 'Beautiful Girl' Segment"", ""'Miss August' in 'Beautiful Girl' segment"", 'Kathy Selden', ""Actress in 'The Royal Rascal'"", 'Filipino Butler', 'Man in Forecourt', 'Usherette', 'Wardrobe Woman', 'Dancing Fat Man at Party', 'Sid Phillips', 'Fruit Peddler', 'Saloon Keeper', 'Lina Lamont', 'Dora Bailey', ""'Miss February' in 'Beautiful Girl' Segment"", 'Don Lockwood', ""'Miss December' in 'Beautiful Girl' Segment"", 'Dancer', 'Rod', 'Man in Talking Pictures Demonstration', ""'Miss October' in 'Beautiful Girl' Segment"", 'Audience Member', 'Matt - Policeman', 'Female Tango Dancer', 'Chorus Girl', ""'Miss June' in 'Beautiful Girl' Segment"", ""'Miss April' in 'Beautiful Girl' Segment"", 'Messenger on Screen', 'Sound Technician', 'Hairdresser', 'Cosmo Brown', ""'Miss November' in 'Beautiful Girl' segment"", 'Gangster in Broadway Melody Ballet', 'Police Escort at Premiere', 'Sound Engineer', 'Cosmo as a Boy', 'Boy', 'Olga Mara', 'Kid', 'Diction Coach', 'Chorus Boy', 'Baron de la Ma de la Toulon', 'R.F. Simpson', ""'Miss March' in 'Beautiful Girl' Segment"", 'Policeman', 'Lady-in-Waiting', 'Zelda Zanders', 'Don as a Boy', 'Film Crew Member', ""Old Man Getting Umbrella in 'Singin' in the Rain' Number"", 'Rudy Vallee Impersonator', 'Club Patron', 'Assistant Cameraman', 'Party Guest', 'J. Cumberland Spendrill III', 'Bert - Cowboy Knocked Out in Barroom Brawl', 'Publicity Man', 'Villain', 'Phil - Villain in Barroom Brawl', 'Call Boy', 'Male Tango Dancer', 'Awards Ceremony Attendee', ""'Miss September' in 'Beautiful Girl' Segment"", 'Fencer', ""'Miss July' in 'Beautiful Girl' segment"", 'Roscoe Dexter', 'Girl Talking with Cosmo at Party', 'Leading Man', ""Singer in 'Beautiful Girl' Segment""}"
19,It's a Wonderful Life,"{'The Bailey Child - Pete', 'Cousin Tilly', 'Annie', 'Ms. Davis', 'Bill-Poster', 'Ed', 'School Dancer', 'Man Whose Grandfather Planted Tree', 'Bert', 'High School Teacher at Poolside', 'Marty Hatch', 'Bandleader in the High School Dance Scene', ""One of Vi's Suitors"", 'Reporter', 'Young Boy', 'Building & Loan Depositor', 'Building & Loan Customer', 'Tom', 'Carter', ""Pianist in Nick's Place"", 'Cop Arresting Violet', 'Ruth Dakin', 'Townsman', 'Man with Sheriff', 'Tollhouse Keeper', 'Clarence', 'Mr. Partridge', 'Infant Janie Bailey', 'Senior Angel', 'Man in Fantasy', 'Bar Patron', 'Mr. Potter', 'Little Mary', 'Little Marty Hatch', 'Joe', 'Horace', 'Elderly Man', 'Mickey', 'Cashier', 'Military Officer in Montage', 'Sheriff', 'Ernie', 'Charlie', 'Photographer', 'Little George', 'Sam Wainwright', 'Little Sam', 'Mrs. Hatch', ""Potter's Bodyguard"", ""Violet's Boyfriend"", 'Mr. Martini', 'Harry Bailey', 'Building and Loan Customer', 'Graduation Dance Guest', 'Nick', 'Mr. Randall', 'Man on Porch', 'Mary Hatch', 'Little Harry Bailey', 'Violet', ""Young George's Friend"", 'Freddie Othello', ""Nick's Assistant Bouncer"", 'Mr. Gower', ""Nick's Waitress"", ""Nick's Bouncer"", 'Jane Wainwright', 'Building & Loan Board Member', 'Photographer with Sheriff', 'Mrs. Bailey', ""Relieved Banker in Potter's Office"", 'The Bailey Child - Zuzu', 'Student in Gym', 'Cousin Eustace', 'Policeman', 'Dr. Campbell', 'Real Estate Salesman', 'Little Violet', 'The Bailey Child - Tommy', 'Uncle Billy', 'Mr. Welch', 'Crow in Bank', ""Singer at Martini's"", 'Mrs. Martini', 'Elderly Woman', 'Young Girl', 'Pa Bailey', 'Nervous Banker', 'Wedding Guest', 'George Bailey', ""Nick's Bartender"", ""Potter's Secretary"", 'Townswoman', 'The Bailey Child - Janie'}"
20,Some Like It Hot,"{'Josephine', 'Little Bonaparte', 'Dolores', 'Gangster at Convention', 'Hotel Guest', 'Waiter', 'Bouncer', 'Club Patron', 'Fresh Bellboy', 'Rosella', 'Funeral Director', 'Party Guest', 'Bienstock', 'Police Officer', 'Mobster at Banquet', 'Emily', 'Commuter at Station', 'Osgood Fielding III', 'Retirement Home Resident', 'Detective Mulligan', 'Trumpet Player', 'Joe', 'Jerry', 'Spats Colombo', 'Johnny Paradise', 'Minor Role', 'Olga', 'Chef', 'Gangster with Charlie', 'Sig Poliakoff', 'Drunk', 'Toothpick Charlie', 'Official #1', 'Mozzarella', 'Mary Lou', 'Bellhop', 'Shell Oil Junior', 'Speakeasy Patron', 'Nellie', 'Gangster Convention Greeter', 'Small Role', 'Gangster at Massacre', 'Sugar Kane Kowalczyk', 'Band Member', 'Sweet Sue', 'Old Man', 'Speakeasy Waiter', ""Spats' Henchman"", 'Gangster', 'Daphne', 'Official #2', 'Girl'}"
21,Ben-Hur,"{'Roman at Bath', 'Rower No. 43', 'Barca', ""Pilate's Servant"", 'Rower No. 42', 'Decurian', 'Joseph', 'Woman in Crowd', 'Senator', 'Supplier to Leper Colony', 'Tiberius Caesar', 'Marius', 'Simonides', 'Jewish Slave in the Desert', 'Bad Thief on Cross', 'Malluch', 'Melchior', 'Old Man', 'Gratus', 'Soldier', 'Oarsman', 'Doctor', 'Gaspar', 'Captain of Rescue Ship', 'Jesus - The Christ', 'Hortator', 'Metellus', 'The Byzantine', 'Villager', 'Starter at Race', 'Chief of Rowers', 'Marcello', 'Judah Ben-Hur', 'Jailer', 'Blind Man', 'Quaestor', 'Man in Nazareth', 'Roman Soldier with a Bow on Galley', 'Chariot Racer', 'The Lubian', 'Seaman', 'Quintus Arrius', 'Galley Officer', 'Flavia', 'Roman Soldier Who Brings Crown to Gratus', 'Rower', 'Esther', 'Aide to Tiberius', 'Sportsman', 'Miriam', 'Roman Officer', 'Cavalry Officer', 'Guest at Banquet', 'Centurion', 'Sheik Ilderim', 'Balthasar', 'Mary', 'Pontius Pilate', 'Rower No. 28', 'Leper', 'Mario', 'Officer', 'Guard on ship', 'Jewish Woman', 'Sextus', 'Amrah', 'The Armenian', 'The Egyptian - Chariot Racer', 'Raimondo', 'Messala', 'Tirzah', 'Narrator', 'Spintho', 'The Athenian', 'Roman Officer with Messala', 'The Syrian', 'Undetermined Role', 'Chariot Driver', 'Dancers at Roman Banquet', 'Palefrenier de la course de chars', 'The Corinthian', 'Drusus'}"
22,Apocalypse Now,"{'Jerry, Civilian', 'Photojournalist', 'Helicopter Pilot', 'French Soldier #1', 'Soldier in Trench', 'Roxanne Sarrault', 'Helicopter Skid Marine', 'Mike from San Diego', 'Playmate of the Year', 'Guitarist in Band', 'Soldier with Colby', 'Bit Part', 'MP Sergeant #2', 'TV Photographer', 'Colonel Walter E. Kurtz', 'Colonel Lucas', 'AFRS Announcer', 'Philippe de Marais', 'Soldier Clinging to Helicopter', 'Lieutenant Colonel Bill Kilgore', 'French Soldier', 'Sergeant Le Fevre', 'Gilles de Marais', 'Machine Gunner', 'Spotter', 'Injured Soldier', 'Christian de Marais', 'Agent', 'Messenger for Willard', 'Lance B. Johnson', 'Chief Phillips', 'Playmate', 'MP Sergeant #1', ""Mrs. Miller, Clean's Mother"", 'Gaston de Marais', ""Tyrone 'Clean' Miller"", 'Catholic Priest', 'Hubert de Marais', 'General R. Corman', 'Johnny from Malibu', 'Director of TV Crew', 'Claudine', 'Captain Benjamin L. Willard', 'Lieutenant Carlsen', 'Eagle Thrust Seven Helicopter Pilot', 'Radio Operator', 'Extra', 'Soldier', 'Lieutenant Richard M. Colby', 'French Soldier #2', 'Soldier with Suitcase', 'Tribal Child', 'Major from New Jersey', ""Kilgore's Gunner"", 'Francis de Marais', 'Supply Sergeant', 'The Tutor', 'Playmate, Miss May', 'Roach', ""Jay 'Chef' Hicks""}"
23,Amadeus,"{""Basilio in 'The Marriage of Figaro'"", 'Priest', 'Kappelmeister Bonno', ""Salieri's Servant"", 'Baron Van Swieten', ""Barbarina in 'The Marriage of Figaro'"", ""Salieri's Valet"", ""Marcellina in 'The Marriage of Figaro'"", ""Don Curzio in 'The Marriage of Figaro'"", ""Commendatore in 'Don Giovanni'"", 'Archbishop Colloredo', 'Parody Commendatore', 'Count Orsini-Rosenberg', 'Constanze Mozart', 'Antonio Salieri', ""Countess in 'The Marriage of Figaro'"", 'Count Arco', 'Pope Clement', ""Papageno in 'The Magic Flute'"", ""Count Almaviva in 'The Marriage of Figaro'"", 'Wig Salesman', ""Antonio in 'The Marriage of Figaro'"", 'Young Salieri', ""Papagena in 'The Magic Flute'"", ""Cavalieri in 'Axur'"", 'Francesco Salieri', 'Dancer', ""Dr. Bartolo in 'The Marriage of Figaro'"", 'Emanuel Schikaneder', 'Michael Schlumberg', 'Gertrude Schlumberg', 'Leopold Mozart', 'Conductor', ""Cherubino in 'The Marriage of Figaro'"", ""Susanna in 'The Marriage of Figaro'"", 'Frau Weber', 'Emperor Joseph II', ""Figaro in 'The Marriage of Figaro'"", ""Queen of the Night in 'The Magic Flute'"", 'Young Mozart', 'Lorl', ""Leporello in 'Don Giovanni'"", 'Father Vogler', 'Frau Schlumberg', 'Cardinal', 'Wolfgang Amadeus Mozart', 'Count Von Strack', 'Hospital Attendant', 'Czechoslovakian Actor', ""Constanza in 'Abduction from the Seraglio'"", ""Don Giovanni in 'Don Giovanni'"", ""Salieri's Student"", 'Karl Mozart', 'Papagena', 'Katerina Cavalieri'}"
24,Lord of the Rings The Return of the King,"{'Sam', 'Theoden', 'Saruman', 'Gamling', 'Gondorian Ranger', 'Gorbag', 'Elanor Gamgee', 'Celeborn', 'Damrod', 'Shagrat', 'Eomer', 'Featured Orc', 'Baby Gamgee', 'Gondorian Soldier 1', 'Elf Escort', 'Gothmog', 'Denethor', 'Corsair of Umbar', 'Madril', 'Rohan', 'Orc Helper', 'Harad Leader 1', 'Bilbo', 'Drinking Rohan Soldier', 'Diamond of Long Cleave', 'Beacon Guard', 'Coronation Elf', 'Uruk 2', 'Faramir', 'King of the Dead', 'Elrond', 'Featured Child', 'Irolas', 'Black Lieutenant', 'Rivendell Elf', 'Gondorian Soldier 3', 'Pelennor Orc', 'Isildur', 'Arwen', 'Gondorian', 'Everard Proudfoot', 'Aragorn', 'Boromir', 'Harad Leader 2', 'Smeagol', 'Orc Lieutenant 1', 'Voice of the Ring', 'Eowyn', 'Orc commander', 'Wormtongue', 'Haradrim Warrior', 'Gollum', 'Corsair Bosun', 'Legolas', 'Gimli', 'Frodo', 'Rosie Cotton', 'Witchking', 'Grimbold', 'Cirdan the Shipwright', 'Eldarion', 'Deagol', 'Merry', 'Gandalf', 'Pippin', 'Galadriel', 'Orc'}"
25,Gladiator,"{'Cassius', 'Fighter', 'City of Rome', 'Vestal Virgin', 'Officer 2', ""Maximus' Wife"", ""Lucius' Attendant"", 'Cicero', 'Roman Dignitary', 'Assassin #2', 'German Leader', ""Proximo's Man"", 'Quintus', 'Rider', ""Catapult Commander Shouts 'Loose'"", 'Gracchus', 'Roman Soldier', 'CGI Motion Capture Gladiator', 'Swordsman', 'Germanic Swordsman', 'Hagen', 'Giant Man', 'Slave Trader', 'Rome Trainer #1', ""Maximus' Son"", 'Yeroc Thoob', 'Marcus Aurelius', 'Juba', 'Falco', 'Battlefield Medic', 'Valerius', 'Citizen of Rome', 'Centurion', 'Coliseum Gladiator', 'Lucilla', 'Trainer 1', 'Germanic Soldier', 'Assassin #1', 'Praetorian Guard #1', 'Narrator', 'Maximus', 'Chief Catapult Operator', 'Commodus', 'Engineer', 'Extra', 'Praetorian Officer', 'Proximo', 'Roman Girl - scene with Maximus', 'German Barbarian', 'Sedan Chair Carrier', 'Scribe', 'Trainer 2', 'Lucius', 'Barbarian Chieftain', 'Tigris', 'Officer 1', 'Gaius'}"
26,Titanic,"{'Core extra', 'I Salonisti Cello', 'Engineering Officer', '1st Officer Murdoch', 'Woman in Water', 'Irish Little Girl', 'Titanic Crewmember', '1st Class Passenger', 'Mother at Stern', 'Mary Marvin', 'Bobby Buell', 'Master at Arms', 'Kissing Couple', 'Captain Smith', 'Ohio Man', 'Steward #1', 'Seaman on Loading Dock', 'Harold Bride', 'Bjorn Gunderson', 'Deckhand', 'Jack Phillips', 'I Salonisti Violin', 'Lewis Bodine', 'Rich Man', 'Stairwell Steward', '1st Class Woman', 'News Reporter', 'Second Class Passenger', 'Pubkeeper', 'Quartermaster Rowe', ""'Safe' Bellboy"", 'Carpenter John Hutchinson', 'Fifth Officer Lowe', 'Lady Duff Gordon', 'Old Rose', 'Sir Duff Gordon', 'John Jacob Astor', ""Cal's Crying Girl"", 'Fabrizio', 'Madame Aubert', 'Third Officer Groves', 'Promenade Deck Steward', 'Rescue Boat Crewman', 'Wireless Operator Cyril Evans', 'Bert Cartmell', 'Cal Hockley', 'Slovakian 3 Year Old Boy', 'Syrian Woman', 'First Class Passenger', 'Irish Mommy', 'Musician', 'Rose Dewitt Bukater', 'Steerage Band', 'Steward #4', 'Drowning Man', 'Jack Dawson', 'Titanic Porter', 'Leading Stoker Charles Hendrickson', 'Quartermaster Hichens', 'Chief Baker Joughin', 'Olaf Dahl', 'Dancer', 'Man in Water', 'Steward Barnes', 'Ruth Dewitt Bukater', 'Titanic Gym Instructor Thomas McCawley', 'Baker', 'Cora Cartmell', 'Extra', 'Scotland Road Steward', 'Chief Officer Wilde', 'Irish Man', 'Bruce Ismay', '2nd Class Passenger', 'Isidor Straus', 'Seaman', 'Slovakian Father', 'Thomas Andrews', 'Lizzy Calvert', 'Molly Brown', 'Steerage Dancer', 'Olaf', 'Douglas Spedden', 'Benjamin Guggenheim', 'Hold Steward #2', 'Lookout Lee', 'Leading Stoker Barrett', '3rd Class Woman', 'Ida Straus', 'Anatoly Milkailavich', 'First Class Steward', 'Yaley', 'Woman', 'Sven', 'I Salonisti Double Bass', 'Titanic Orchestra', 'Steerage Band Member', 'Bathroom Guy', 'Col. Archibald Gracie', 'Countess of Rothes', 'Madeleine Astor', '4th Officer Boxhall', 'Spicer Lovejoy', '1st Class Dining Room Steward', 'Tea Room Girl', 'E-Deck Passenger', 'Victor Giglio', 'Button Accordionist', 'Sailor', 'The Promenade Steward', '6th Officer Moody', 'Engine Room Crewman', '1st Class Husband', 'Crewman', 'Steward #3', 'Chinese Man', 'Frozen Woman with Baby', 'Hold Steward #1', 'Waiter', 'Trudy Bolt', 'Chief Engineer Bell', 'Tea Room Mother', 'Praying Man', 'Steward #2', '3rd Class Youngster Without Lifesaver Jacket', 'Frederick Spedden', 'Irish Little Boy', 'Helga Dahl', '2nd Officer Lightoller', '3rd Officer Pitman', 'Frederick Fleet', 'Man Being Combed for Lice', 'Engine Room Worker', 'Wallace Hartley', 'Carpathia Steward', 'Narrator of Theatrical Trailer', 'Olaus Gunderson', 'Father Byles', 'Praying Woman', 'Elevator Operator', 'Noble Sailor', 'Tommy Ryan', '1st Class Steward', '3rd Class Passenger', 'Syrian Man', '1st Class Waiter', '1st Class Man', 'I Salonisti Piano', 'Brock Lovett'}"
27,From Here to Eternity,"{""Sgt. 'Baldy' Dhom"", 'Sandra', 'Angelo Maggio', 'Treadwell', 'Gen. Slater', 'Soldier Leaving New Congress Club', 'Col. Ayres', 'Bartender', ""Rose - Waitress in Enlisted Men's Club"", 'Mazzioli', 'Military Guard', 'Suzanne', 'Robert E. Lee Prewitt', 'Karen Holmes', 'Billie', 'Capt. G.R. Ross', 'Cpl. Paluso', ""Georgette - Lorene's Roommate"", 'Cpl. Buckley', 'Trumpet Player', 'Nancy', 'Maj. Bonds', 'Jean', 'Alma -', ""Sgt. 'Fatso' Judson"", 'Bill', 'Sgt. Maylon Stark', 'Annette - Club Receptionist', 'Nair', 'Minor Role', 'Capt. Dana Holmes', 'Col. Wood', 'Cpl. Champ Wilson', 'Pvt. Friday Clark - Bugler', 'Sal Anderson', 'Dance Hall Girl', 'Maj. Stern', 'Roxanne', 'Sgt. Leva', 'Undetermined Role', 'Sgt. Turp Thornhill', 'Mrs. Kipfer', 'Sgt. Henderson', 'Army Lieutenant Colonel', 'Soldier at New Congress Club', 'Sgt. Ike Galovitch', 'Soldier', 'Sgt. Pete Karelsen', 'Sgt. Milton Warden'}"
28,Saving Private Ryan,"{""Ryan's Grandson"", 'Corporal Upham', 'Fallon', 'Paratrooper #1', 'War Department Captain', 'Field HQ Aide', 'Paratrooper Lieutenant', 'French Villager', 'Soldier Signalling to Relief Column', 'T-4 Medic Wade', 'War Department Clerk', ""Ryan's Granddaughter"", 'Private Boyd', 'War Department Lieutenant', 'Czech Wehrmacht Soldier', 'Minnesota Ryan', 'Senior Medical Officer', 'Soldier', 'Wilson', 'German Paratrooper', 'Coxswain', 'Corporal', 'Old French Man', 'Radioman', 'Old French Woman', ""Jean's Wife"", ""Jean's Daughter"", 'Parker', 'Ramelle Paratrooper', 'Jean', 'Trask', 'Corporal Henderson', 'Private Hastings', 'German Sniper', 'Goldman', 'Lieutenant Colonel Anderson', 'Doyle', 'Paratrooper Joe', 'Weller', 'Paratrooper Oliver', ""Ryan's Son"", 'German SS Soldier', 'Captain Hamill', 'Paratrooper Michaelson', 'A23 Platoon', 'Letter-Reader', 'Captain Miller', 'Paratrooper', 'Old Mrs. Ryan', 'Lyle', 'Field HQ Major', 'Sergeant Hill', 'Rice', 'Waffen SS Soldier', 'Toynbe', 'Private Mellish', 'Ryan as Old Man', 'Major Hoess', 'German #3', 'Sergeant Blaine', 'Lieutenant Briggs', 'Steamboat Willie', 'German #2', 'German #1', 'General Marshall', 'Bangalore Assistant', 'Private Ryan', 'Private Jackson', 'Private Reiben', 'Delancey', 'Soldier on the Beach', 'War Department Colonel', 'MP Lieutenant', 'Private Caparzo', ""Jean's Son"", 'Mrs. Margaret Ryan', 'Voice on Bullhorn', 'Garrity', 'Soldier on Beach', 'Lieutenant DeWindt', 'Sergeant Horvath'}"
29,Unforgiven,"{'Johnny Foley', 'Lippy MacGregor', 'Fighter', 'Will Munny', 'Charley Hecker', 'Faith', 'Wiggens', 'Clyde Ledbetter', 'Penny Munny', 'Ned Logan', 'The Shadow', 'Thirsty Thurston', 'Deputy Andy Russell', 'W.W. Beauchamp', 'Buck Barthol', 'Bill Munny', ""The 'Schofield Kid'"", 'Little Bill Daggett', 'Quick Mike', 'Little Sue', 'German Joe Schultz', 'Skinny Dubois', 'Eggs Anderson', 'Fatty Rossiter', 'Sally Two Trees', 'Train Person #2', 'Train Person #3', 'Strawberry Alice', 'Bucky', 'Crow Creek Kate', 'Fuzzy', 'Silky', 'Crocker', 'Train Person #1', 'Davey Bunting', 'Delilah Fitzgerald', 'Barber', 'Paddy McGee', 'Texas Slim', 'Tom Luckinbill', 'English Bob', 'Muddy Chandler'}"
30,Rocky,"{'Secretary', 'Man in Unemployment Line', 'Fighter', ""Apollo's Lawyer"", 'Ice Rink Attendant', ""Rocky's Dog"", 'Timekeeper', 'Gazzo', 'Bartender', ""Apollo's Corner"", 'Paulie', ""Paulie's Date"", ""Tony Gazzo's Girlfriend"", 'Apollo Corner Man', 'Ringside Police Officer', 'Apollo', 'Club Corner Man', 'Jergens', 'Fats', 'Radio Host', 'Mickey', 'TV Interviewer', ""Apollo Creed's Bodyguard"", 'Marie', 'Self', 'Drunk', 'Spectator', 'Adrian', 'Reporter', 'TV Commentator', 'Owner of Pet Shop', 'Club Fighter', ""Apollo's Trainer"", 'Dipper', 'Bodyguard', 'Fight Commentator', 'Mary Anne Creed', 'Club Fight Referee', 'Mike', 'Rocky', 'Fight Announcer', 'Cut Man', 'Championship Fight Announcer', 'Streetcorner Singer', 'Big Man Daniel', 'Boxer In Gym', 'Chiptooth', 'Club Fight Announcer'}"
31,A Streetcar Named Desire,"{'Stella Kowalski', 'Policeman', 'Steve', 'Pablo', 'Waiter', 'Eunice', 'Club Patron', 'A Sailor', 'A Collector', 'Foreman', 'Stanley Kowalski', 'Passerby', 'Minor Role', 'Bowling Alley Patron', 'The Mexican Woman', 'Giggling Woman with Eunice', 'Worker', 'Mitch', 'A Doctor', 'Vendor', 'Street Vendor', 'The Matron', 'Blanche DuBois'}"
32,To Kill a Mockingbird,"{'Maudie Atkinson', 'Townsman', 'Jem', 'Schoolboy', 'Helen Robinson', 'Dr. Reynolds', 'Jesse', 'Man', 'Bailiff', 'Courtroom Spectator', 'Dill Harris', 'David Robinson', 'Atticus Finch', 'Mr. Gilmer', 'Walter Cunningham Sr.', 'Court Clerk', 'Calpurnia', 'Mrs. Dubose', 'Walter Cunningham Jr.', 'Scout Finch', 'Jury Foreman', 'Judge Taylor', 'Tom Robinson', 'Hiram Townsend', 'Boo Radley', 'Scout as an Adult - Narrator', 'Bob Ewell', 'Reverend Sykes', 'Nathan Radley', 'Court Reporter', 'Schoolteacher', 'Spence Robinson', 'Burly Mob Member', 'Sheriff Heck Tate', 'Ash', 'Mob Leader', 'Aunt Stephanie Crawford', 'Cecil Jacobs', 'Juror', 'Mayella Violet Ewell'}"
33,An American in Paris,"{'Fury', 'Georges Matthieu', 'Lise Bouvier', 'Man at Shutters', 'Boy with Bubble Gum', 'Waiter', 'Club Patron', 'Ballet Dancer', 'Driver', 'Bartender', 'Young Man at Mirror', 'Dancing Partner', 'Tommy Baldwin', 'Kay Jansen', 'G.I.', 'Mathilde Mattieu', 'Honeymooner', 'American Girl', 'Party Guest', 'Woman at Table', 'Smiling Young Man', 'Adam Cook', 'Jerry Mulligan', 'Nun', 'French Girl', 'Bearded Painter', 'Woman with Cats', 'Man with Books', 'Milo Roberts', 'Spectator at Show', 'Man at Table', 'Strongman', 'Boy', 'Maid', 'Frenchwoman', 'Therese', 'Winston Churchill', 'François', 'News Vendor', 'Rugged G.I.', 'Postman', 'Frenchman', 'Undetermined Role', 'Child in Ballet', 'Flower Lady', 'Girl at Ball', 'Cafe Patron', 'Audience Member', 'Jack Jansen', 'Edna Mae Bestram', 'Artist', 'Ben Macrow', 'John McDowd', 'Woman on Phone', 'Patron at Flodair Café', 'Saxophonist in Cafe', ""'Stairway to Paradise' Dancer"", 'Henri Baurel', 'Dancing G.I.', 'Girl'}"
