,Name,Character Names
34,Best Years of Our Lives,"{'Dexter - Brat in Drugstore', 'Miss Barbour', 'Wealthy Man at Nightclub', 'Jackie', 'Musician - Drum Solo', 'Mrs. Cameron', 'ATC Sergeant', 'Bank Customer with Hat', 'Rob Stephenson', 'Mr. Mollett', 'Wilma Cameron', 'Butch Engle', 'A Boy', 'Hat Check Girl', 'Nightclub Waiter', 'Marie Derry', 'Pat Derry', 'Nightclub', 'Taxi Driver', 'Mrs. Talburt - Perfume Customer', 'Mrs. Garrett', 'Milly Stephenson', 'Bar Patron', 'Department Store Customer', 'Gus - Salvage Worker', 'Mr. Cameron', 'Counter Girl', 'Hortense Derry', 'Prew', 'Glamour Girl', 'Announcer', 'Peggy Stephenson', 'Waiter at Bank Dinner', 'Black Soldier at Airfield', 'Camera Girl', 'Cliff', 'Girl', ""Maitre d'Hotel"", 'Fred Derry', 'Minister at Wedding', 'Dinner Guest', 'Lou Latham - Bank', ""Ladies' Room Attendant"", 'Perfume Saleswoman', 'Woody Merrill', 'ATC Corporal', 'Mrs. Parrish', 'Girl at Table with Cliff', ""Angus - Butch's Waiter"", 'Customer', 'Luella Parrish', 'Salvage Foreman', 'Technical Sergeant', 'Steve the Bartender', ""Clarence 'Sticky' Merkle"", 'Saleswoman', 'Steese - Bank', 'Novak', 'Ryan - Bank Guard', ""Card Player at Lucia's"", 'Waiter', ""One of Homer's 'Kids'"", 'Drugstore Clerk', 'Hillbilly Singer', 'Homer Parrish', 'George H. Gibbons', 'Thorpe', 'Apartment Desk Clerk', 'Nightclub Patron', 'Al Stephenson', 'Corporal at ATC Counter', 'A Girl', 'Parking Lot Attendant', 'Doorman', 'Boy at Soda Fountain - Mollett Scene', 'Cameo - Drug Store customer', 'Singer', ""Waiter at Lucia's Restaurant"", 'Girl at Soda Fountain - Mollett Scene', 'Bank Dinner Guest', 'Wedding Guest', 'Man at Airport', 'Mr. Parrish', 'Mr. Milton', ""Diner Attendant at Lucia's"", 'Card Player', ""Giuseppe - Lucia's Restaurant Proprietor"", 'Bullard'}"
35,A Clockwork Orange,"{'Mr Alexander', 'Bearded Man in Record Shop', '3rd Milkbar Bouncer', 'BBC Producer', 'Girl Passing Alex in Record Store', 'Mustachioed Ludovico Technician', ""Victim of Billyboy's Gang"", 'Old Lady at Duke of York', 'Doctor', 'Sophisto', 'Sonietta', 'Prison Officer in Chapel', 'Brunette Girl', 'Conspirator D.B. Da Silva', 'Conspirator', ""Charlie - Security Guard Outside Alex's Ludovico Room"", 'Prison Governor', 'Stage Actress', 'Desk Sergeant', 'Nurse Braindrain', 'Prison Check-in Officer', 'Biblio Oldie', 'Mrs. Alexander', 'Marty', 'Chief Guard', 'Psychiatrist', 'Lodger', 'Convict Pianist', 'Prison Check-In', 'Tramp', 'Bar Customer', 'Professor', 'Prison Guard', 'Self', 'Dad', 'Jesus Christ', 'Smiley Prisoner Next to Kissy Faced Prisoner', '1st Policeman at Duke of York', 'Drunk Tramp', 'Humming Technician', 'Police Inspector', 'Dr. Branom', 'Catlady', 'Georgie', 'Burbling Boy', ""Dr. Lidlock's Assistant"", 'Girl in Ascot Fantasy', 'Dr. Alcott, Ludovico Center check-in', 'Mum', 'Prison Chaplain', 'Det. Const. Tom', 'Detective sergeant', 'Dr. Lidlock', 'Julian', 'Tramp Beating Up Alex', 'Tramp beating up Alex', 'Pete', 'Desk Policeman', 'Stage Actor', 'Dr. Brodsky', 'Dim', 'Man with Flowers in Hospital', 'Handmaiden in Bible fantasy', 'Rex - Police Landrover Driver', 'Nurse', '2nd Policeman at Duke of York', 'Record Bootik Clerk', 'Minister', 'Deltoid', 'Handmaiden in Bible Fantasy', 'Professor Attacked by Alex & Droogs in Library', ""Junior Minister - Minister Frederick's Aid"", 'Milkbar Bouncer', 'Billyboy', 'Alex', 'Nurse Feeley'}"
36,Doctor Zhivago,"{'Petya', 'David', 'Priest', 'Yuri at 8 Years Old', 'Hospital Inmate', 'Raped Woman', '1st Tonya Age 7', 'Demented Woman', 'Militiaman', 'Anna', 'Razin', 'Kostoyed', 'The Bolshevik', 'Party Guest', 'Old Soldier', 'Sasha', 'Delegate', 'The Girl', 'Katya', 'Engineer at Dam', 'Captain', 'Streetwalker', 'Medical Professor', 'Major', 'Alexander', 'Yevgraf', 'Tonya at 7', 'Yuri Andreyevich Zhivago', 'Mr. Sventytski', 'Dancer', 'Siberian Boy', 'Political Officer', 'Beef-Faced Colonel', 'Pasha Antipov', 'Lara', 'Victor Komarovsky', 'Female Janitor', 'The Train Jumper', 'Mrs. Sventytski', 'Siberian Husband', 'Extra', 'Amelia', 'Oficial', 'Colonel of Dragoons', 'Gentlewoman', 'Liberius', 'Tonya Gromeko'}"
37,Jaws,"{'Woman Tourist #1', 'Man with Goff', 'Mainlander', 'Beachgoer', 'Michael Brody', 'Barwood', 'Mr. Denherder', 'Quint', 'Mr. Stands', 'Swimmer', 'Ellen Brody', 'Brody', 'Boat Rental Man', 'Lynwood Shop Keeper', 'Nurse', 'Salvatore', 'Meadows', 'Walter', 'Townsperson', 'Bonfire Guitarist', 'Girl in Music Store', 'Man with Rifle', 'Island Wife', 'Estuary Victim', 'Vaughn', 'Mr. Polk', 'Charlie', 'Research Assistant', 'Medical Examiner', 'Sailboat Skipper', 'Deputy #2', 'Amity Point Lifestation Worker', 'Beach Guitarist', 'Clarinet Player in Music Store', 'Pratt', 'Hendricks', 'Man with Dog', 'Infant on Beach', 'Hippie on Beach', 'Polly', 'Harry', 'Sean Brody', 'Harry Wiseman', 'Sonar Operator', 'Mrs. Kintner', 'Spotter', 'Lady Fisherman', 'Interviewer', 'Converted Man', 'Mr. Taft', 'Ben Gardner', 'Lifeguard', 'Frank Silva - Harbor Master', 'Man with Dynamite', 'Mrs. Taft', 'Mrs. Posner', 'Alex Kintner', 'Screaming Swimmer', 'Policeman', 'Fat Lady', 'Ensign', 'Boat Captain', 'Out of Towner', 'Motorboat Skipper', 'Man', 'Local Merchant', 'Mr. Posner', 'Felix', 'Hooper', 'Fisherman in Boat', 'Topless Swimmer', 'Woman at Beach', 'Scout Master', 'Cassidy', 'Chrissie', 'Artist', 'Swimming Girl', 'At Bonfire with Mustache'}"
38,Patton,"{'Colonel Gaston Bell', 'Field Marshal Erwin Rommel', 'First Lieutenant Alexander Stiller', 'Soldier Who Gets Slapped', 'American GI Cook', 'Lieutenant Gen. Harry Buford', 'Major General Walter Bedell Smith', 'Air Chief Marshal Sir Arthur Tedder', 'Willy', 'British Briefing Officer', 'Cynical Wounded Soldier', 'General Omar N. Bradley', 'Medical Corps Major', 'Lieutenant Young', 'Maj. Dorian von Haarenwege', 'General Sir Harold Alexander', 'Soldier Sleeping on the Floor', ""General Patton's Driver"", 'Captain Oskar Steiger', 'Clergyman', 'Moroccan Minister', 'Captain Richard N. Jenson', 'Colonel General Alfred Jodl', 'Field Marshal Sir Bernard Law Montgomery', 'Lieutenant Colonel Henry Davenport', 'Correspondent', 'Voice', 'Self', 'Sergeant in Bar', 'Tank Captain', 'Soldier on Bridge', 'Officer Callagher', 'Knutsford Welcome Club Dignitary', 'Brigadier General Hobart Carver', ""General Bradley's Driver"", 'Captain Chester B. Hansen', 'Lieutenant Col. Charles R. Codman', 'Third Army Chaplain', 'Sergeant William George Meeks', 'Major General Francis de Guingand', 'General George S. Patton Jr.', 'Major General Lucian K. Truscott', 'Russian Translator', 'Air Vice-Marshal Sir Arthur Coningham', 'Soldier', 'Colonel John Welkin', 'Self - Movietone News Narrator'}"
39,Platoon,"{'Sgt. Barnes', 'Gardner', ""Village Chief's Daughter"", 'Chris', 'Bunny', 'Big Harold', 'Crawford', 'Captain Harris', 'Manny', 'Mechanized Soldier #2', 'Village Chief', 'Alpha Company Major in Bunker', 'Soldier with Mohawk Haircut', 'Ebenhoch', 'Parker', 'Mechanized Soldier #1', 'Old Woman', 'Rodriguez', 'Fu Sheng', 'Sgt. Elias', 'Ace', 'Junior', 'Tony', 'One-Legged Man', 'Terrified Soldier', 'Medic', 'Tubbs', 'Morehouse', 'Huffmeister', 'Flash', 'Soldier with Guitar', 'Doc', ""Sgt. O'Neill"", 'Lerner', 'Francis', ""Village Chief's Wife"", 'Sal', 'King', 'Lt. Wolfe', 'Warren', 'Tex', 'Rhah', 'Soldier', 'Rape Victim', 'Sanderson'}"
40,Braveheart,"{'Farmer', 'William Wallace', ""Bride's Father"", 'Irish Foot Soldier', 'Young Soldier', 'Corporal', 'Prince Edward', 'Nicolette', 'Young Hamish', 'The Leper', 'Balliol', 'MacGregor', 'Priest No. 2', ""Leper's Caretaker"", 'York Captain', 'Smythe', 'Longshanks - King Edward I', 'Flagman', 'Drinker No. 1', 'Sean', 'Argyle Wallace', 'Hamish', 'John Wallace', 'Lord Dolecroft', 'Morrison', 'Villager', 'Phillip', 'Faudron', 'Young Murron', 'Chief Assassin', 'English Commander', 'Toothless Girl', 'Elder Stewart', 'Royal Magistrate', 'Warrior #2', 'Governor of York', 'Drinker No. 2', 'Clans Man', 'Highland Clansman', 'Wallace Warrior', 'Stewart', 'Royal Steward', 'Veteran', 'English General', 'Irish Horde', 'Kings Guard', 'Lord Bottoms', 'Stephen', 'Lochlan', 'Lady at Wedding', 'Mother MacClannough', 'Lord Talmadge', 'Craig', ""King's Advisor"", 'Magistrate', 'Campbell', 'Warrior', 'Scottish Warrior', 'Murron', 'Madbaker', 'Jailor', 'Mornay', 'Doogal', 'Princess Isabelle', 'Priest No. 1', 'Robert the Bruce', 'Malcolm Wallace', 'Mrs. Morrison', 'Young William', 'MacClannough', 'Peasant', 'Horse Rider', 'Cheltham', 'Clan Warrior'}"
41,Dances with Wolves,"{'Black Shawl', 'Escort Warrior', 'Union soldier', 'Doctor', 'Stone Calf', 'Spivey', 'Background Artist: Union Soldier', 'Toughest Pawnee', ""General's Aide"", 'Otter', 'Union Soldier', 'Pretty Shield', 'Wagon Driver', 'Settler', 'Guard', 'Cisco', 'Warrior #1', 'Kicking Bird', 'Smiles A Lot', 'Major', 'Edwards', 'Willie', ""Kicking Bird's Eldest Son"", 'Worm', ""Kicking Bird's Son"", 'Ambush Wagon Driver', 'Warrior #2', 'Sioux Courier', 'Ray', 'Pawnee #1', 'Two Socks - a Wolf', 'Big Warrior', 'Sioux #2', 'Female Barber', 'Lieutenant Elgin', 'Confederate Soldier', ""Christine's Mother"", 'Christine', 'Sergeant Bauer', 'Lieutenant Dunbar', 'Timmons', 'Pawnee #3', 'General Tide', 'Wind In His Hair', 'Major Fambrough', 'Sergeant Pepper', 'Village Mother', 'Sioux #1', 'Confederate Cavalryman', 'Stands With A Fist', 'Tucker', 'Ten Bears', 'Pawnee #2', 'Sioux Warrior', 'Captain Cargill - extended version', ""Kicking Bird's Daughter""}"
42,Jurassic Park,"{'Harding', 'Helicopter Pilot', 'Control Room technician', ""Driver of Grant, Sattler & Malcolm's Jeep"", 'Customer at San Jose restaurant', 'Muldoon', 'Volunteer #1', 'Dodgson', 'Lex', ""'Mr. D.N.A.' Voice"", 'Ellie', 'InGen Helicopter Pilot', 'Raptor #1', 'Worker at Amber Mine', 'Volunteer Boy', 'Mate', 'Wu', 'Worker in Raptor Pen', 'Archeologist', 'Arnold', 'Rostagno', 'Nedry', 'Gennaro', 'Lab Technician', 'Jurassic Park Tour Voice', 'Miner - Dug Out Mosquito', 'Grant', 'Malcolm', 'Tim', 'Hammond'}"
43,Exorcist,"{'Whitey G. Wiggerman', 'Rob'}"
44,Pianist,"{'Feather Woman', 'Schultz', 'Prisoner', 'Zydówka', 'Dr. Ehrlich', 'Woman in Ghetto', 'Benek', 'Woman with Soup', 'Boy with Sweets', 'Piano Buyer', 'Russian Soldier', 'Street Musician', 'Dr. Luczak', 'Jew', 'The Soup Snatcher', 'Dorota', 'Regina', 'SS Shooting the Woman', 'Zig Zag', 'Jew Working on the Bulding Site', 'Woman Shot in the Head', 'Wailing Woman', 'Polish Woman', 'Mr. Grün', 'Girl', 'worker', 'Rubenstein', 'German Soldier in the Ghetto', 'German Soldier - Rummage Bags', 'Man Waiting to Cross', 'Itzak Heller', 'Janina', 'SS Making a Speech', 'Gebczynski', 'Child at the Wall', ""Janina's Husband"", 'SS Shooting Benek', 'Polish Officer', 'Young Gestapo', 'SS Slapping Father', 'Captain Wilm Hosenfeld', 'SS Officer', 'Woman with Child', 'Halina', 'Man in Ghetto', 'Women in Ghetto', 'Lednicki', 'Mr. Lipa', 'Polish Workman', 'Fellow Worker', 'German Film Crew', 'Yehuda', 'Customer with Coins', 'Mother', 'Wladyslaw Szpilman', 'Schutzpolizei', 'Father', 'Majorek', 'Szalas', ""Dorota's Husband"", 'Soldier', 'Neighbour', 'Jurek', 'Henryk'}"
45,Goodfellas,"{'Lois Byrd', ""Young Henry's Sister #2"", ""Batts' Crew #2"", 'Prizefighter', 'Lawyer', 'Fat Andy', 'Belle Kessler', 'Bruce', ""Bruce's Brother #1"", ""Young Henry's Sister #1"", 'City Detective #2', 'Frankie The Wop', 'Truck Hijacker', ""Tommy's Girlfriend at Copa"", 'Mob Lawyer', ""Henry's Baby - Ruth"", 'Bridal Shop Owner', ""Cicero's Wife"", 'Drug Buyer', ""Stacks' Girlfriend"", 'Bleeding Man', 'Prison Guard in Booth', 'Resturante Mob Onlooker', 'Ruth Hill at 8 Years', 'Garbage Man', 'Stacks Edwards', 'Bobby Vinton', 'Cop #1', 'Barbeque Wiseguy', 'Tuddy Cicero', 'Arresting Narc', 'Dealer', 'Liquor Cop #2', ""Henry's 60's Crew"", 'Wilma Johnson - Phone Operator', 'Judy Hill at 13 Years', ""Tuddy's Wife"", 'Marie #2', 'Bouncer', 'Copa Captain', 'Doctor', 'Janice Rossi', 'Sandy', 'Truck Driver', 'Restaurant Customer', 'Frenchy', 'Mickey Conway', 'Johnny Roastbeef', 'Henry Greeter #1', 'Bar Patron', 'Wedding Photographer', 'Billy Batts', ""Karen's Mother"", 'Man with Coatrack', 'Wiseguy', ""Cicero's 60's Crew"", 'Paul Cicero', ""Vito's Girlfriend"", 'Johnny Dio', 'Spider', 'Security Guard with Lobsters', ""Karen's Dad"", 'Pete The Killer', 'Tommy DeVito', 'Susan', 'Judge - 1956', 'Nickey Eyes', ""Tommy's Mother"", 'Diane', 'Paul #3', ""Cicero's 60's crew"", 'Copa Announcer', 'Vito', ""Henry's Mother"", 'Jimmy Two Times', 'Angie', ""Bruce's Brother #2"", 'Mikey Franzese', 'Frankie Carbone', ""Gangster's Girlfriend"", ""Nicky Eyes' Girlfriend"", 'Young Michael', 'Freddy No Nose', 'Henry Greeter #3', ""Bookie's Sister"", 'Jerry Vale', ""Janice's Girlfriend #2"", 'Parole Officer', ""Jimmy's Date"", 'Liquor Cop #1', 'Henry Hill', ""Joe Buddha's Wife"", ""Henry's 70's Crew"", 'Marciano', 'Warehouse Worker', 'Mr. Tony Hood #2', 'Tony', 'Defense Attorney', 'Sonny Bunz', 'Frankie', 'Ruth Hill at 11 Years', 'Fellas Chauffer', 'Hijacked Driver', 'Kid', 'Judy Hill at 10 Years', 'Dr. Dan', 'City Detective #1', 'Florida Bookie', 'Courtroom Defendant', 'Young Wiseguy', 'Edward McDonald', ""Young Henry's Older Brother"", 'James Conway', 'Morris Kessler', ""Janice's Girlfriend #1"", 'Marie #1', 'Waiter', 'Commuter', 'Judge - 1971', 'Woman in Bar', 'Mr. Tony Hood #1', 'Beach Club Waiter', 'Detective Silvestri', ""Batts' Crew #1"", 'Anthony', 'Michael Hill', 'Ronnie', 'Gambling Doorman', ""Johnny Roastbeef's Wife"", 'Henry Greeter #2', ""Henry's Father"", 'Joe Buddha', 'Young Henry', 'Truck Driver at Diner', 'Terrorized Waiter', 'Man at Table', 'Contruction Worker', 'Jakie Rabinowitz', '1956 Court Stenographer', 'Mrs. Carbone', 'Mailman', ""Frenchy's Wife"", 'Godfather at Table', ""Henry's Older Child - Judy"", 'Karen Hill', 'Tony Stacks', 'Detective Deacy', 'Lisa', 'Henny Youngman', 'Anthony Stabile', 'Young Tommy', ""Carbone's Girlfriend"", 'Vinnie', ""Jimmy's Son"", ""Cicero's '60s Crew"", 'Rosie', 'School Guard', 'Prison Inmate Sitting Behind Henry'}"
46,Deer Hunter,"{'Priest', 'Chinese Man', 'NVA Officer', 'Linda', 'Doctor', 'Sergeant', 'Michael', 'Embassy Guard', 'Chinese Bodyguard', ""Axel's Girl"", 'Steel Worker', 'Bandleader', 'Nick', 'Axel', ""Steven's Mother"", 'Bar Patron', 'Bar Girl', 'Stock Boy', 'Stan', 'Barman', 'Woman In Village', 'V.C. Guard', ""Linda's Father"", 'Chinese Man At Door', 'Chinese Referee', 'John', 'Self', 'Helen', 'Wedding Man', 'Red Head', 'Hospital Orderly', 'V.C. Referee', 'World War Veteran', 'Julien', 'Chinese Boss', 'Girl Checker', 'Angela', ""Stan's Girl"", 'US Embassy Guard', 'Cold Old Man', 'Bridesmaid', 'Nurse', 'Steven', 'Cab Driver', 'South Vietnamese Prisoner', 'Steelworker', 'Bingo Caller', 'Sad Looking Girl'}"
47,All Quiet on  the Western Front,"{'Young Soldier', 'Schoolboy', 'Poster Girl', 'Peter', 'Suzanne', 'Gérard Duval', 'Undetermined Secondary Role', 'Tjaden', ""Paul's Mother"", 'Charwoman', 'French Ambulance Driver', '2nd Medic Orderly', 'Ginger - the Cook', 'Paul', 'Student', 'Frau Bäumer - Silent Version Trailer only', 'French Girl', 'Herr Bäumer', 'Herr Meyer', 'Mueller', 'Minor Role', 'Albert', 'Sister Libertine', 'German Soldier', 'Behn', '1st Medic Orderly', 'Detering', 'Young Girl', 'Anna Bäumer', 'Assistant Cook', 'Kemmerich', 'Soldier', 'Himmelstoss', 'Bertinck', 'Frau Kemmerick', 'Mother of Hospital Patient', 'Leer', 'Joseph Hammacher', 'Kat', 'Kantorek', 'Westhus'}"
48,Bonnie and Clyde,"{'Policeman', 'Buck Barrow', 'Bonnies Nephew at Picnic', ""Bonnie's Uncle"", 'Bank Teller', 'Bank Guard', 'Bonnie Parker', 'Police Officer', 'Sheriff Smoot', 'Bank Customer', 'Billy', 'C.W. Moss', 'Deputy', ""Bonnie's Aunt"", 'Boy at Bank', 'Blanche', 'Eugene Grizzard', 'Ivan Moss', 'Grocery Store Owner', ""Bonnie's Mother"", 'Velma Davis', ""Bonnie's Sister"", 'Frank Hamer', 'Clyde Barrow'}"
49,French Connection,"{'Tollbooth Collector', 'Hotel Guest', 'Motorman', 'Angie Boca', 'Man', 'Woman with Baby Carriage', 'Auctioneer', 'Police Mechanic', 'Woman at Airport', 'Buddy Russo', 'Street Thief Leader', 'Auction Bidder', 'Klein', 'Mutchie', 'The Three Degrees', 'Hooker on the Street', 'Uncredited', 'News Cameraman', 'Schoolgirl', 'Pierre Nicoli', 'Little Boy', 'Informant', 'Marie Charnier', 'Chemist', 'Mulderig', 'Weinstock', ""Mobster's Redhead Wife"", 'Bicycle Girl', 'Jimmy Doyle', 'Lou Boca', 'La Valle', 'Devereaux', 'Alain Charnier', 'Bidder at New York Car Auction', 'Simonson', 'Pusher', 'Baldy - Bar Patron in Drug Raid', 'Sal Boca', 'Police Sergeant', 'Dock Worker'}"
50,City Lights,"{'Woman at Left of Table in Restaurant', 'An Eccentric Millionaire', 'Burglar', 'Doctor', 'Boxing Fight Referee', 'Second', 'Young Man', 'A Prizefighter', 'Police Officer', 'Bald Party Guest', 'Superstitious Boxer', 'Woman at Center of Table in Restaurant', 'Eddie Mason - Boxer', ""Street Sweepers' Foreman"", 'Tramp Who Dives for Cigar', 'Nightclub Patron', 'A Tramp', 'Newsboy', 'Man in Restaurant', 'Tall Man at Party', 'Dancer', 'Victorious Boxer - Later Knocked Out', 'Mayor', 'Diner in Restaurant', 'Man Who Throws Away Cigar', 'A Blind Girl', 'Boxer', 'Cop', 'Boxing Match Spectator', 'Man in Mix-Up with Coat and Hat', 'Street Sweeper', ""James - the Millionaire's Butler"", 'Street Passerby', 'Man in Elevator in Front of the Art Shop', ""Blind Girl's Downstairs Neighbor"", 'Flower Shop Assistant', ""The Blind Girl's Grandmother"", 'Distinguished Gentleman in Cafe', 'Sculptor'}"
51,It Happened One Night,"{'Policeman', 'Little girl crying', 'Passenger on Second Bus', 'Minister at Wedding', ""Man Saying 'Your Bus Leaves in 5 Minutes'"", 'Zeke', 'Last Auto Camp Manager', 'Peter Warne', 'The Bag Thief', 'Ticket Buyer', 'Bus Dispatcher', 'Henderson', 'Bus Driver #2', 'Flower Girl', 'Best Man at Wedding', 'Vendor on Bus', 'Clark', 'Flagman at Railroad Crossing', 'Boy Bus Passenger', 'Mr. Dykes - Auto Camp Owner', 'Waiter at Wedding', 'Bus Driver #1', 'Mother on Bus', 'Alexander Andrews', 'Danker', 'Newsboy', 'Mexican Bus Passenger', 'Minor Role', 'Reporter', 'Tony', 'Butler', 'Gas Station Attendant', 'Drunk Reporter', ""Last Motel Manager's Wife"", 'Cook Serving Food to Passengers', 'Detective', 'Wedding Guest', 'Guitar Player on Bus', 'Ellie Andrews', 'Woman at Auto Camp', 'Bus Passenger', 'Oscar Shapeley', 'King Westley', 'Society Woman', ""Zeke's Wife"", ""Agnes - Gordon's Secretary"", 'Maid of Honor', 'Joe Gordon', 'Lovington'}"
52,A Place in the  Sun,"{'Policeman', 'Alice Tripp', 'Prisoner', 'Company Executive', 'Juror', 'Mrs. Ann Vickers', 'Waiter', 'Boatkeeper', 'Frances Brand', 'George Eastman', 'Truck Driver', 'Man', 'Courtroom Spectator', 'Judge R.S. Oldendorff', 'Bit Part', 'Bus Driver', 'Party Guest', 'Tom Tipton', 'Joe Parker', 'Guard', 'Miss Newton', 'William - Butler at Eastman Home', 'Louise Eastman', ""Margaret - Eastman's Secretary"", 'Eagle Scout', 'Deputy', 'Court Clerk', 'Factory Floorman', 'Jury Foreman', ""Vickers' Butler"", 'Radio Broadcaster', 'Drunk', 'Coroner', 'Bellows', 'Anthony Vickers', 'Marsha', 'Jailer', 'Det. Kelly', ""Servant at Eastman's Party"", 'Receptionist', 'Earl Eastman', 'Executive', 'Warden', 'Dr. Wyeland', 'Charles Eastman', 'Friend of Taylor', ""Lulu - Vickers' Maid"", 'Mrs. Roberts - Landlady', ""Art Jansen - George's Attorney"", 'Man Listing to Singing', 'Rev. Morrison', ""Eastmans' Maid"", 'Angela Vickers', 'Dist. Atty. R. Frank Marlowe', 'Courtroom Extra', 'Mr. Whiting', 'Miss Harper', 'Motorcycle Officer', 'Courtroom Reporter', 'Hannah Eastman', 'Factory Guard', 'Bailiff', 'Factory Worker - Prosecution Witness', 'Girl'}"
53,Midnight Cowboy,"{'Freaked-Out Lady - New York', 'Escort Service Man - New York', 'Girl at Party', 'Annie - Texas', 'St. Bernard Owner', 'Little Joe - Texas', 'Laundromat Lady - New York', 'TV Bishop - New York', 'The Party', 'Woodsy Niles - Texas', 'Gina', 'Vegetable Grocer - New York', ""Mr. O'Daniel"", 'Party Guest', 'Hat Shop Owner - New York', 'The Young Student - New York', 'Mother on the Bus - Texas', 'Rich Lady - New York', 'Man at Party', 'Old Cow-Hand - Texas', 'Pimp', 'Man at Lunch Counter', 'Sailor in Bar', 'Bus Driver - Florida', 'Hippie #3', 'Woman in TV Montage', 'The Old Lady - Texas', 'Gretel McAlbertson - The Party', 'Shirley', 'Man in TV Montage', 'Old Lady in Subway', 'Rapist in Flashback', 'Hotel Clerk - New York', 'Joe Buck', 'Jackie - New York', 'Towny', 'Ralph - Texas', 'Joe Pyne on TV Show', 'Sally Buck - Texas', 'The Waitress - Florida', 'Hippie in Coffee Shop', 'Homeless Man', 'Hansel McAlbertson - The Party', 'Bartender - New York', 'Bus Passenger', 'Cafeteria Manager - Texas', 'Dog Outside Warhol Party', 'Cass', 'Ratso', 'The Frantic Lady - New York'}"
